idx,filename,temperature [C],flecha [mm],global time
5,3.11172462406015_mm_115.10_grados_1_5,115.1,3.11172462406015,"2022,03,07,12:03:41"
5,3.11172462406015_mm_115.10_grados_2_5,115.1,3.11172462406015,"2022,03,07,12:03:55"
5,3.11172462406015_mm_115.10_grados_2_5,115.1,3.11172462406015,"2022,03,07,12:04:09"
5,3.11172462406015_mm_115.10_grados_2_5,115.1,3.11172462406015,"2022,03,07,12:04:23"
5,3.11172462406015_mm_115.10_grados_1_5,115.1,3.11172462406015,"2022,03,07,12:04:37"
5,3.11172462406015_mm_115.10_grados_1_5,115.1,3.11172462406015,"2022,03,07,12:04:51"
5,3.11172462406015_mm_115.10_grados_1_5,115.1,3.11172462406015,"2022,03,07,12:05:05"
99,3.11172462406015_mm_117.30_grados_prueba_99,117.3,3.11172462406015,"2022,03,07,12:07:13"
99,3.11172462406015_mm_117.20_grados_prueba_99,117.2,3.11172462406015,"2022,03,07,12:07:27"
99,3.11172462406015_mm_114.20_grados_prueba_99,114.2,3.11172462406015,"2022,03,07,12:08:39"
99,3.11172462406015_mm_114.30_grados_prueba_99,114.3,3.11172462406015,"2022,03,07,12:08:53"
99,3.11172462406015_mm_116.30_grados_prueba_99,116.3,3.11172462406015,"2022,03,07,12:10:48"
99,3.11172462406015_mm_116.30_grados_prueba_99,116.3,3.11172462406015,"2022,03,07,12:11:02"
99,3.11172462406015_mm_116.50_grados_prueba_99,116.5,3.11172462406015,"2022,03,07,12:11:16"
99,3.11172462406015_mm_117.30_grados_prueba_99,117.3,3.11172462406015,"2022,03,07,12:12:39"
99,3.11172462406015_mm_117.40_grados_prueba_99,117.4,3.11172462406015,"2022,03,07,12:12:53"
0,3.11172462406015_mm_119.90_grados_1_0,119.9,3.11172462406015,"2022,03,07,12:16:37"
0,3.11172462406015_mm_119.90_grados_2_0,119.9,3.11172462406015,"2022,03,07,12:16:51"
1,3.11172462406015_mm_124.70_grados_1_1,124.7,3.11172462406015,"2022,03,07,12:27:22"
1,3.11172462406015_mm_124.70_grados_2_1,124.7,3.11172462406015,"2022,03,07,12:27:36"
2,3.11172462406015_mm_129.70_grados_1_2,129.7,3.11172462406015,"2022,03,07,12:36:52"
2,3.11172462406015_mm_129.80_grados_2_2,129.8,3.11172462406015,"2022,03,07,12:37:06"
3,3.11172462406015_mm_134.60_grados_1_3,134.6,3.11172462406015,"2022,03,07,12:47:37"
3,3.11172462406015_mm_134.70_grados_2_3,134.7,3.11172462406015,"2022,03,07,12:47:51"
4,3.11172462406015_mm_139.80_grados_1_4,139.8,3.11172462406015,"2022,03,07,12:59:32"
4,3.11172462406015_mm_139.90_grados_2_4,139.9,3.11172462406015,"2022,03,07,12:59:46"
5,3.11172462406015_mm_145.10_grados_1_5,145.1,3.11172462406015,"2022,03,07,13:11:27"
5,3.11172462406015_mm_145.10_grados_2_5,145.1,3.11172462406015,"2022,03,07,13:11:41"
99,3.11172462406015_mm_147.00_grados_prueba_99,147.0,3.11172462406015,"2022,03,07,13:14:02"
99,3.11172462406015_mm_147.10_grados_prueba_99,147.1,3.11172462406015,"2022,03,07,13:14:16"
0,3.11172462406015_mm_149.80_grados_1_0,149.8,3.11172462406015,"2022,03,07,13:25:22"
0,3.11172462406015_mm_149.70_grados_2_0,149.7,3.11172462406015,"2022,03,07,13:25:36"
